CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA-UNIDOS,MTS,A.S.,APP,DEMOCRATAS,A-UPP,PDC,UN,CAOP,NGP,APB-SUMATE,LIBRE,CAOCH,CONACH-W,CSUTOAPCH,A-P,ASCAP,JAP,S-P,MNR,POR
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001467,2,18,17,23,4,2,0,3,2,2,4,7,5,,,,,1,13,11,9,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001477,3,18,16,15,4,2,2,0,5,3,10,5,13,,,,,2,7,13,10,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001487,4,26,14,22,2,1,2,1,3,5,2,7,5,,,,,4,7,12,7,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001497,5,17,13,31,3,1,1,0,5,6,10,16,6,,,,,2,9,10,9,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001507,6,21,15,31,1,0,1,2,7,0,6,5,4,,,,,10,3,7,16,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001517,7,22,19,21,0,0,2,1,4,3,7,12,6,,,,,4,12,15,14,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001527,8,26,16,23,8,1,0,0,6,1,5,6,4,,,,,2,11,5,15,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001537,9,15,12,20,2,2,1,2,3,10,13,11,6,,,,,4,5,8,8,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001547,10,16,19,20,6,1,0,0,1,1,8,7,5,,,,,2,10,11,12,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001557,11,25,20,18,1,1,0,1,1,4,3,6,9,,,,,2,8,12,8,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001567,12,20,14,23,4,0,2,3,4,6,5,5,8,,,,,3,5,7,4,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001577,13,27,16,16,5,0,1,5,7,4,2,9,7,,,,,3,9,5,6,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001587,14,23,20,18,4,2,1,2,4,4,5,7,12,,,,,11,4,7,11,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002317,1,27,14,16,6,0,4,2,7,4,2,6,10,,,,,0,7,12,10,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002327,2,14,12,19,2,2,1,4,2,2,5,9,11,,,,,7,1,11,8,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002337,3,21,17,22,9,0,1,2,3,2,7,15,6,,,,,3,1,15,7,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002347,4,17,4,21,3,1,0,3,2,5,4,15,5,,,,,4,7,8,10,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002357,5,18,13,19,1,3,1,0,2,4,8,13,9,,,,,2,8,17,9,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002367,6,19,13,16,6,4,1,5,10,0,7,13,5,,,,,1,6,12,12,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002377,7,13,15,36,5,0,2,1,2,3,13,10,8,,,,,3,7,11,11,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002387,8,1,7,6,1,0,1,0,0,1,2,0,1,,,,,0,1,4,2,
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002397,1,19,10,13,7,0,2,4,6,5,16,14,12,,,,,0,11,13,20,
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002407,2,24,13,14,4,2,3,6,7,1,11,11,16,,,,,5,9,11,18,
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002417,3,15,23,20,11,1,3,5,7,1,11,16,12,,,,,4,8,12,11,
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002427,4,14,17,17,9,0,1,3,3,0,15,14,7,,,,,4,8,12,27,
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002437,5,13,19,19,2,2,1,2,6,3,10,15,9,,,,,2,7,16,22,
1,Tomás Frías,1,Potosí,1494,Potosí,19,Coleg. Cristo Maestro,5002447,6,6,10,10,6,0,1,2,5,2,9,9,11,,,,,0,5,11,13,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001377,1,15,12,16,2,3,1,9,1,1,8,7,3,,,,,3,9,9,5,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001387,2,25,19,19,2,3,0,3,5,6,4,7,6,,,,,1,5,5,8,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001397,3,21,18,23,3,0,1,15,2,5,5,6,4,,,,,3,3,13,9,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001407,4,21,10,18,4,0,1,7,3,4,11,6,4,,,,,3,7,8,9,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001417,5,23,10,21,2,0,1,16,0,3,3,10,1,,,,,5,4,4,13,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001427,6,16,16,10,2,3,0,9,5,6,5,12,9,,,,,4,8,9,10,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001437,7,13,12,22,6,5,0,8,1,1,7,3,3,,,,,5,1,7,10,
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001447,8,14,9,16,3,1,2,6,7,1,10,11,2,,,,,9,3,2,10,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002497,1,17,25,22,4,1,0,2,4,3,11,6,8,,,,,3,9,5,12,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002507,2,14,15,22,9,4,2,1,3,3,17,10,6,,,,,2,6,18,13,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002517,3,20,11,17,7,1,2,2,3,5,4,13,13,,,,,1,4,19,12,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002527,4,22,10,23,5,5,0,3,3,4,9,14,5,,,,,3,6,11,16,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002537,5,25,10,17,6,2,1,4,2,5,14,9,7,,,,,4,7,12,11,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002547,6,19,13,27,6,1,0,9,2,4,5,9,9,,,,,6,7,16,15,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002557,7,20,13,22,7,2,4,4,4,1,1,19,4,,,,,2,16,11,16,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002567,8,22,14,23,7,1,1,4,5,4,8,8,7,,,,,2,11,15,11,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002577,9,17,14,19,7,2,0,1,1,3,10,6,4,,,,,2,11,10,10,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002587,10,14,12,13,17,2,2,3,5,4,8,6,3,,,,,1,5,19,17,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002597,11,19,19,20,3,0,1,2,6,0,5,13,9,,,,,7,5,9,23,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002607,12,20,21,23,2,2,1,2,4,1,5,6,9,,,,,3,8,16,13,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002617,13,16,12,16,4,2,0,1,3,2,6,13,7,,,,,2,6,15,7,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002627,14,9,16,21,4,2,2,3,8,4,13,6,7,,,,,6,10,13,12,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002637,15,19,10,18,7,1,2,0,3,1,4,7,4,,,,,4,10,8,10,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002647,16,21,15,35,5,3,1,5,3,2,5,10,9,,,,,7,6,8,7,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002657,17,25,9,14,1,2,0,7,4,0,10,13,6,,,,,5,7,15,7,
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002667,18,8,3,4,0,0,1,2,0,2,2,2,3,,,,,0,1,7,2,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001917,1,10,19,23,5,4,2,3,1,2,7,6,4,,,,,8,8,8,7,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001927,2,13,18,17,4,3,6,3,6,1,7,11,3,,,,,3,6,11,6,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001937,3,14,13,27,3,2,4,3,2,6,7,7,8,,,,,3,4,13,14,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001947,4,21,15,26,4,3,3,4,4,5,5,6,11,,,,,5,4,6,8,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001957,5,21,27,25,1,2,0,5,7,4,7,5,5,,,,,2,5,10,9,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001967,6,26,16,20,3,3,2,7,5,6,6,12,5,,,,,0,3,9,9,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001977,7,15,19,36,4,0,2,4,4,1,5,8,7,,,,,2,4,12,12,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001987,8,27,16,23,1,1,1,1,2,2,6,6,4,,,,,6,4,6,9,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5001997,9,12,9,25,6,0,1,3,2,3,3,4,6,,,,,3,4,4,18,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002007,10,20,13,27,3,2,2,2,4,2,5,1,6,,,,,4,10,14,4,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002017,11,22,20,24,3,1,2,5,2,2,5,9,3,,,,,4,6,6,11,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002027,12,13,19,34,4,0,3,3,4,4,6,3,10,,,,,1,7,17,7,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002037,13,16,10,31,5,0,0,3,2,5,12,9,2,,,,,5,8,6,14,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002047,14,18,13,13,5,2,3,2,3,2,9,10,12,,,,,0,1,8,10,
1,Tomás Frías,1,Potosí,1494,Potosí,24,U. E. Vicente Bernedo  A,5002057,15,11,7,11,1,2,3,3,1,4,7,10,2,,,,,0,3,6,7,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001597,1,20,21,27,3,1,0,3,4,2,9,5,1,,,,,6,8,6,17,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001607,2,21,14,20,1,1,1,0,3,3,7,10,5,,,,,4,5,9,6,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001617,3,16,22,22,4,0,1,4,3,9,4,7,3,,,,,3,6,12,12,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001627,4,17,13,20,4,3,3,4,6,6,4,5,7,,,,,3,8,8,8,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001637,5,20,13,30,2,1,1,4,4,1,3,8,3,,,,,3,7,6,8,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001647,6,11,18,17,3,1,0,1,5,7,7,11,8,,,,,3,6,5,3,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001657,7,22,9,21,5,3,1,3,4,6,2,7,6,,,,,5,6,6,6,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001667,8,9,15,25,2,2,1,3,3,3,2,5,3,,,,,5,7,11,4,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001677,9,10,18,23,3,3,0,7,4,1,2,6,3,,,,,8,4,11,4,
1,Tomás Frías,1,Potosí,1494,Potosí,25,Esc. L. Subieta Sagarnaga,5001687,10,17,11,12,3,0,0,2,1,16,4,6,6,,,,,3,11,9,9,
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002807,1,11,19,9,14,0,1,0,3,4,12,12,11,,,,,1,14,16,26,
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002817,2,18,17,5,7,1,1,2,6,4,17,13,10,,,,,1,18,16,24,
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002827,3,10,13,7,10,1,1,3,7,1,26,14,12,,,,,3,15,15,30,
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002837,4,16,22,11,7,0,1,4,3,7,22,15,11,,,,,3,10,9,31,
1,Tomás Frías,1,Potosí,1494,Potosí,27,Coleg. Don Bosco,5002847,5,9,9,3,2,0,2,1,5,5,16,2,8,,,,,2,4,6,23,
1,Tomás Frías,1,Potosí,1494,Potosí,28,Esc. Gregorio Barriga,5002857,1,19,16,11,4,0,2,1,4,3,22,14,8,,,,,4,9,15,25,
1,Tomás Frías,1,Potosí,1494,Potosí,28,Esc. Gregorio Barriga,5002867,2,3,1,1,0,0,0,1,0,0,3,0,1,,,,,0,3,2,4,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005287,1,19,17,19,8,1,1,2,5,2,15,8,11,,,,,5,7,10,21,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005297,2,15,20,22,6,1,1,1,2,1,13,16,16,,,,,1,7,14,15,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005307,3,13,9,23,9,3,3,0,3,2,14,4,12,,,,,3,10,16,18,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005317,4,19,17,15,9,1,1,1,4,1,23,20,10,,,,,3,5,21,16,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005327,5,32,23,8,6,0,3,3,0,2,7,12,9,,,,,3,2,14,13,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005337,6,13,20,15,6,1,0,1,2,3,16,16,8,,,,,4,8,24,19,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005347,7,12,18,27,8,1,0,1,4,4,16,5,6,,,,,3,6,19,9,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005357,8,13,12,16,10,2,1,2,2,1,13,16,12,,,,,4,15,16,15,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005367,9,16,19,14,4,0,1,1,4,1,21,14,12,,,,,3,8,16,14,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005377,10,17,16,16,8,0,5,0,8,5,13,16,7,,,,,7,9,14,17,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005387,11,20,15,16,4,0,1,2,6,2,21,7,12,,,,,5,8,12,17,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005397,12,28,19,15,14,2,0,4,4,4,8,18,14,,,,,4,11,19,20,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005407,13,17,12,20,9,2,0,6,5,1,20,16,12,,,,,4,10,16,19,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005417,14,19,15,11,3,2,6,2,6,1,13,13,7,,,,,3,12,16,22,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005427,15,14,19,25,6,0,0,5,6,7,12,15,9,,,,,2,11,5,16,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005437,16,17,15,14,9,1,1,3,2,5,15,15,11,,,,,9,8,16,15,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005447,17,21,20,16,7,1,4,1,3,2,15,11,14,,,,,4,6,8,22,
